,Actor,Director,Rating,Title,URL,Year
57,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck",8.4,The Lives of Others,https://www.imdb.com/title/tt0405094/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_58,1994
58,Stanley Kubrick,"Kirk Douglas, Ralph Meeker",8.4,Paths of Glory,https://www.imdb.com/title/tt0050825/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_59,1994
59,Stanley Kubrick,"Jack Nicholson, Shelley Duvall",8.4,The Shining,https://www.imdb.com/title/tt0081505/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_60,1994
60,Quentin Tarantino,"Jamie Foxx, Christoph Waltz",8.4,Django Unchained,https://www.imdb.com/title/tt1853728/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_61,1994
61,Andrew Stanton,"Ben Burtt, Elissa Knight",8.4,WALL·E,https://www.imdb.com/title/tt0910970/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_62,1994
62,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal",8.4,Coco,https://www.imdb.com/title/tt2380307/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_63,1994
63,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida",8.4,Mononoke-hime,https://www.imdb.com/title/tt0119698/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_64,1994
64,Sam Mendes,"Kevin Spacey, Annette Bening",8.4,American Beauty,https://www.imdb.com/title/tt0169547/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_65,1994
65,Christopher Nolan,"Christian Bale, Tom Hardy",8.4,The Dark Knight Rises,https://www.imdb.com/title/tt1345836/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_66,1994
66,Billy Wilder,"Tyrone Power, Marlene Dietrich",8.4,Witness for the Prosecution,https://www.imdb.com/title/tt0051201/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_67,1994
67,Chan-wook Park,"Min-sik Choi, Ji-tae Yu",8.4,Oldeuboi,https://www.imdb.com/title/tt0364569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_68,1994
68,James Cameron,"Sigourney Weaver, Michael Biehn",8.4,Aliens,https://www.imdb.com/title/tt0090605/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_69,1994
69,Sergio Leone,"Robert De Niro, James Woods",8.3,Once Upon a Time in America,https://www.imdb.com/title/tt0087843/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_70,1994
